p_url,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,label
https://webstring.in/5B9/xgc/cmd-login=98c84ca2a22bef681997849fd13d8927/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
https://cityapothecary.com.au/wp-content/d/i/login.php,1,54,4,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,131,16,-1,1,-1,1,1,-1,1,-1
https://cityapothecary.com.au/wp-content/d/i/error.php?cmd=login_submit&id=&session=,1,84,4,1,1,1,1,1,1,-1,1,-1,1,0,1,1,-1,-1,1,142,16,-1,1,-1,1,1,-1,1,-1
https://juanmanuelnavia.com/wp-content/upgrade/com/one/,1,55,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,142,16,-1,-1,-1,1,1,-1,1,-1
http://duhaplanned.com/defaultsite,1,34,1,1,1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,1,149,18,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=a2a7938099b2075bd8b9b69804524753/index.php?email=abuse@ionos.com&loginpage=mail.ionos.com/&reff=ZjEwNDFhMmUxNzZlZWNlZmMyMzlkYWZiOTBlN2UxZTE,1,178,4,1,-1,1,1,-1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=a2a7938099b2075bd8b9b69804524753/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=fc57e7f7e3afa9af443c1aabe31bde5e/index.php?email=abuse@ionos.com&loginpage=mail.ionos.com/&reff=MTdkZmFkZThhM2JlMDU0NDBmNDdlYmY4MzE2NTk0YjY=,1,179,4,1,-1,1,1,-1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://webstring.in/5B9/xgc/cmd-login=fc57e7f7e3afa9af443c1aabe31bde5e/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,397,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
http://teffetellerconstructionandlandscaping.com/yhb/NO/cmd-login=0e565c650735b8545b46a36fbd44699b,1,98,3,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,-1,-1,1,1,0,1,-1
http://teffetellerconstructionandlandscaping.com/yhb/NO/cmd-login=0e565c650735b8545b46a36fbd44699b/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,424,4,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,-1,-1,-1,1,1,0,1,-1
http://cn2.lynmaxonline.com/source,1,34,1,1,1,1,1,1,1,-1,1,-1,0,0,1,1,-1,-1,1,179,13,1,1,-1,1,1,0,1,-1
https://cn2.lynmaxonline.com/source/validate.php?src=DluZDluZHNmNDBlb2RzaDluZHNmNDDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbHNmNDBlb2RzaTRDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbpZWprMzBka2prZWtjamtkIGNuZmk0bmZpbZWppZXdpb2U5NDluZHNmNDBlb2RzaTRpZWprMzBka2prZWtjamtkIGNuZmk0bmZpb25ja29uc2NrIGtjIGtqIHZqayBj&email=,1,361,2,1,1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,182,13,1,1,-1,1,1,0,1,-1
http://agenciacreativaga.com/defaultsite,1,40,1,1,1,1,1,1,1,-1,-1,-1,0,0,-1,1,-1,-1,1,149,18,1,1,-1,1,1,0,1,-1
https://cor.shayadeitz.com/gaborneds/1&1/source/?email=pomalley@benedictine.edu,1,79,3,1,-1,1,1,1,1,-1,1,-1,0,0,-1,1,-1,-1,1,179,13,-1,-1,-1,1,1,0,1,-1
